Topic,Words
1,"푸틴, 협정, 대통령, 러시아, 고위, 북한, 구체, 동맹, 평양, 김정은"
2,"대통령, 위원회, 반도체, 국가, 윤석열, 지능, 회의, 거론, 점검, 출범"
3,"상호, 지원, 협정, 군사, 침략, 푸틴, 러시아, 조약, 관계, 북한"
4,"검찰, 의원, 인도, 총리, 출석, 방문, 장관, 오전, 조사, 서울시"
5,"목사, 검찰, 대통령실, 조사, 통화, 윤석열, 자리, 과정, 대통령, 안내"
6,"개입, 군사, 러시아, 북한, 서명, 자동, 협력, 상호, 협정, 정부"
7,"배터리, 의대, 증원, 대통령, 유럽, 임원, 장관, 루마니아, 보상, 전시회"
8,"인구, 출생, 육아휴직, 출산휴가, 대책, 정부, 국가, 어린이집, 제도, 가정"
9,"인구, 출생, 윤석열, 국가, 대통령, 양육, 가정, 비상, 정책, 양립"
10,"비서, 통화, 전화, 오후, 국방부, 사건, 차례, 기록, 관리, 대통령"
11,"상호, 협정, 정상회담, 합의, 군사개입, 유사시, 조약, 침략, 러시아, 북한"
12,"협정, 러시아, 북한, 양국, 상호, 포괄, 동반, 체결, 전략, 유사시"
13,"인구, 출생, 사회, 국가, 대통령, 고령, 양육, 육아휴직, 아산, 임기"
14,"인구, 출생, 윤석열, 국가, 대통령, 양육, 가정, 비상, 정책, 양립"
15,"출생, 인구, 소득, 출산, 가구, 대책, 사회, 신생아, 육아휴직, 공급"
16,"인공, 대통령, 출범, 반도체, 총장, 위원회, 위원, 위원장, 분야, 대통령실"
17,"어린이집, 대통령, 현대, 어린이, 프로그램, 방문, 윤석열, 경기, 사진, 촬영"
18,"인구, 출생, 대통령, 회의, 육아휴직, 양립, 현대, 사회, 대책, 국가"
19,"인식, 대통령, 어린이집, 현대, 양육, 전환, 출산, 사람, 사회, 확산"
20,"대통령, 현대, 육아휴직, 회의, 저출산, 고령, 윤석열, 경기, 사회, 아산"
21,"러시아, 대통령실, 북한, 푸틴, 대통령, 입장, 상황, 공개, 내용, 구체"
22,"출생, 대통령, 출산, 가구, 육아휴직, 현대, 제도, 저출산, 고령, 확대"
23,"통화, 비서, 차례, 국방부, 대통령, 오후, 장관, 전화, 기록, 차관"
24,"생활, 현지, 대통령실, 대통령, 도착, 개월, 예정, 외부, 기간, 선물"
25,"어린이집, 현대, 회의, 대통령, 운영, 교사, 오후, 인구, 저출산, 감소"
26,"인구, 출생, 윤석열, 국가, 대통령, 양육, 저출산, 가정, 사회, 비상"
27,"현대, 아산, 성남시, 재판매, 저출산, 고령, 윤석열, 직원, 경기, 금지"
28,"어린이집, 어린이, 성남시, 재판매, 윤석열, 환영, 위치, 현대, 금지, 경기"
29,"현대, 아산, 성남시, 재판매, 저출산, 고령, 윤석열, 직원, 경기, 금지"
30,"아산, 성남시, 재판매, 저출산, 고령, 윤석열, 현대, 금지, 경기, 발언"
31,"아산, 성남시, 재판매, 저출산, 고령, 윤석열, 현대, 금지, 경기, 발언"
32,"아산, 성남시, 재판매, 저출산, 고령, 윤석열, 현대, 금지, 경기, 발언"
33,"아산, 성남시, 재판매, 저출산, 고령, 윤석열, 현대, 금지, 경기, 발언"
34,"현대, 어린이집, 성남시, 재판매, 윤석열, 위치, 금지, 경기, 프로그램, 센터"
35,"현대, 어린이집, 성남시, 재판매, 윤석열, 위치, 금지, 경기, 프로그램, 센터"
36,"어린이집, 성남시, 재판매, 윤석열, 위치, 현대, 금지, 경기, 프로그램, 센터"
37,"출마, 의원, 위원장, 위원, 최고, 여의도, 선거, 연합뉴스, 가능성, 거론"
38,"의원, 출마, 위원장, 국민, 정치, 질문, 비상, 라며, 대표, 대책"
39,"민주당, 대표, 의원, 최고, 위원, 국회, 출마, 회의, 이용자, 언급"
40,"선거, 출마, 위원장, 선언, 의원, 여의도, 비상, 위원, 대책, 국민"
41,"의원, 문서, 총장, 혐의, 민주당, 기자회견, 제출, 과거, 주장, 사실"
42,"선물, 푸틴, 러시아, 대통령, 영빈, 위원장, 전쟁, 평양, 정상, 김정은"
43,"출석, 요구, 국회, 의원, 국무위원, 이하, 이유, 차관, 규정, 민주당"
44,"국민, 협상, 민주당, 제안, 국회, 위원장, 운영, 요구, 구성, 행사"
45,"민주당, 위원, 최고, 대표, 이재명, 체제, 회의, 의원, 시대, 라며"
46,"민주당, 위원, 최고, 비판, 이재명, 국민, 대표, 의원, 발언, 대변인"
47,"출마, 위원장, 의원, 위원, 최고, 계약, 여의도, 비상, 준비, 선거"
48,"의원, 출마, 질문, 대표, 국민, 지금, 비상, 사건, 대책, 다시"
49,"혁신, 지역, 구성, 위원장, 강원, 위원회, 일정, 시민, 특별, 참석"
50,"민주당, 제안, 협상, 국민, 국회, 구성, 대표, 의장, 운영, 위원장"
51,"사장, 유치, 공사, 회사, 투자, 검증, 글로벌, 관심, 절차, 계약"
52,"의원, 출마, 국민, 요청, 출생, 대한민국, 정치, 전날, 해석, 관측"
53,"의원, 후보, 민주당, 혐의, 사실, 출마, 선거, 내일, 경찰, 통화"
54,"구성, 협상, 민주당, 위원장, 국민, 제안, 국회, 운영, 소재, 향후"
55,"배터리, 의대, 증원, 대통령, 유럽, 임원, 장관, 루마니아, 보상, 전시회"
56,"푸틴, 대통령, 평양, 광장, 환영, 러시아, 김일성, 북한, 위원장, 정상"
57,"민주당, 최고, 이재명, 위원, 대표, 차별, 정부, 라며, 계속, 국민"
58,"민주당, 이재명, 최고, 위원, 발언, 대변인, 비판, 대표, 의원, 국민"
59,"증원, 의대, 신청, 정원, 사건, 처분, 배정, 장관, 의과대학, 재판"
60,"광장, 시민, 차례, 의원, 국민, 마련, 서울, 위해, 기자, 방안"
61,"광장, 시민, 차례, 의원, 국민, 마련, 서울, 위해, 기자, 방안"
62,"광장, 시민, 차례, 의원, 국민, 마련, 서울, 위해, 기자, 방안"
63,"협상, 국민, 민주당, 제안, 위원장, 국회, 조건, 운영, 구성, 브리핑"
64,"의료, 국회, 국민, 갈등, 의원, 복지, 민주당, 집단, 회의, 구성"
65,"출마, 위원장, 선언, 의원, 확정, 위원, 전국, 거론, 대변인, 참여"
66,"개혁, 사망, 훈련, 광장, 시민, 의원, 오후, 마련, 대표, 서울"
67,"사망, 부모, 훈련, 광장, 인사, 시민, 국민, 오후, 마련, 서울"
68,"개혁, 사망, 훈련, 광장, 시민, 오후, 마련, 대표, 서울, 기자"
69,"사망, 부모, 훈련, 광장, 인사, 시민, 국민, 오후, 마련, 서울"
70,"개혁, 사망, 훈련, 광장, 시민, 의원, 오후, 마련, 대표, 서울"
71,"사망, 훈련, 광장, 시민, 의원, 국민, 오후, 마련, 서울, 기자"
72,"사망, 훈련, 광장, 시민, 국민, 오후, 마련, 서울, 기자, 방식"
73,"루마니아, 장관, 국방부, 도입, 국방, 회담, 중인, 한국, 결정, 수출"
74,"협정, 상호, 러시아, 북러, 북한, 제재, 시대, 미국, 김정은, 우크라이나"
75,"북한, 러시아, 북러, 푸틴, 관계, 미국, 안보, 군사, 강화, 상호"
76,"루마니아, 장관, 국방, 국방부, 위치, 회담, 행사, 의장, 재판매, 설립"
77,"대법원, 의료, 의대, 신청, 판결, 기각, 복귀, 집행정지, 보건복지부, 증원"
78,"푸틴, 김정은, 발언, 러시아, 북한, 대통령, 관계, 동맹, 평양, 도착"
79,"경기도, 교류, 관계, 중국, 우호, 협력, 경제, 분야, 면서, 격상"
80,"본부, 어려움, 지역, 대화, 보고, 전국, 통해, 전남, 진행, 제주"
81,"조항, 군사개입, 북한, 자동, 협정, 포괄, 상호, 동반, 관계, 러시아"
82,"푸틴, 대통령, 환영, 북한, 도착, 위원장, 루스, 아우, 평양, 새벽"
83,"협정, 북한, 푸틴, 회담, 러시아, 양국, 대북, 군사, 조항, 제재"
84,"협정, 푸틴, 러시아, 북한, 군사, 조약, 조항, 자동, 동맹, 포괄"
85,"도시, 성과, 종합, 시설, 광주, 사업, 센터, 철도, 노선, 확보"
86,"협정, 러시아, 관계, 북러, 상호, 양국, 대통령, 푸틴, 북한, 원조"
87,"스포츠, 게임, 산업, 종목, 협약, 성남시, 지원, 진흥, 적극, 위해"
88,"경기도, 중국, 교류, 관계, 협력, 지역, 우호, 경제, 분야, 합의"
89,"러시아, 푸틴, 대통령, 평양, 도착, 정책, 새벽, 북한, 지지, 우크라이나"
90,"전략, 주제, 외교부, 지역, 태평양, 포럼, 차관, 게임, 인도, 개최"
91,"선물, 루스, 아우, 푸틴, 대통령, 김정은, 러시아, 북한, 차량, 여러"
92,"외교부, 중국, 대화, 외교, 차관, 한반도, 안보, 문제, 평화, 안정"
93,"지구, 단위, 보고서, 계획, 감사, 제출, 지역, 업체, 관련, 요구"
94,"외교부, 중국, 외교, 대화, 안보, 발표, 차관, 한반도, 국제, 방북"
95,"의장, 의회, 민주당, 국민, 의원, 선거, 후보, 승인, 갈등, 반발"
96,"감사, 위원, 과장, 복지, 회원, 지급, 의회, 최선, 기여, 이전"
97,"교육청, 직원, 의원, 일부, 결혼, 전달, 보고, 과정, 발생, 사진"
98,"항공, 최고, 경북, 장비, 인도, 도착, 미국, 가운데, 세계, 향상"
99,"노선, 도입, 효율, 사업, 시스템, 사업자, 반영, 계획, 추진, 향상"
100,"푸틴, 러시아, 대통령, 우크라이나, 지지, 회담, 전략, 전쟁, 북한, 위원장"
