Topic,Frequency
한국,977
정부,915
대표,912
대표,912
탄핵,882
지원,790
미국,780
대통령,695
지역,680
사업,637
기업,585
장관,572
피해,489
위원회,431
이사,431
거래,406
독일,401
정책,400
일본,378
올림픽,356
문화,355
경제,331
폭염,328
평가,328
의료,305
쯔양,293
증권,280
오전,280
매출,278
게임,268
교수,259
기온,258
데이터,250
프랑스,233
버스,232
도시,232
정산,220
내용,220
증시,215
회생,211
이란,209
이란,209
시스템,205
국장,196
선수,185
가격,182
네이버,177
운동,172
언론,162
공간,159
어뮤즈,157
대책,154
치료,153
대출,151
사이버,145
하니,142
인텔,141
애플,137
애플,137
화재,130
화성,124
매장,119
오픈,117
기후,113
캠프,111
아이폰,110
공격,108
생산,106
작품,102
사직,99
라이트,94
식물,90
전북,89
휴가,89
패스,88
장어,81
무슬림,81
아우디,74
판매량,73
시위,67
남양유업,66
청약,63
스미싱,62
갤럭시,61
화천,59
토마토,56
배터리,54
티웨이항공,54
하나님,53
간호사,53
엔화,50
김예지,46
개통,40
김치,38
딥스,35
양제,33
엔터테인먼트,30
마루,28
바이든,22
반납,8
