Topic,DetailedWords
1,"마루, 알루미늄, 협업, 피부, 캐릭터"
2,"대통령, 국민, 회장, 영상, 주장"
3,"화재, 아파트, 전기차, 인천, 지하"
4,"문화, 지역, 공연, 사업, 음악"
5,"토마토, 축제, 공연, 복무, 방탄소년단"
6,"폭염, 주류, 지역, 피해, 마리"
7,"도시, 그룹, 질환, 공원, 근로자"
8,"하니, 튀르키예, 이스라엘, 하마스, 이란"
9,"오픈, 검색, 마블, 넷마블, 관리"
10,"화천, 보험, 생명, 출시, 그룹"
11,"위원회, 위원, 문화, 간행물, 청소년"
12,"작품, 한국, 아토피, 전시, 음식"
13,"개통, 준비, 노선, 교통, 리턴"
14,"국장, 외교부, 영화, 러시아, 영화제"
15,"라이트, 맥주, 판매, 국내, 출시"
16,"데이터, 센터, 효율, 합병, 냉각"
17,"딥스, 키즈, 상승, 매장, 나이키"
18,"장관, 태국, 협력, 한국, 양국"
19,"대표, 의장, 생물, 정책, 멸종위기종"
20,"운동, 근육, 소모, 김포, 효과"
21,"쯔양, 혐의, 구속, 대한, 공갈"
22,"인텔, 실적, 녹조, 폭락, 발표"
23,"의료, 동행, 기후, 카드, 구리시"
24,"장어, 유빈, 말미잘, 히라노, 풍천"
25,"언론, 자유, 건물, 현장, 기자"
26,"전북, 사용, 에듀, 페이, 규제"
27,"버스, 칼리, 차량, 규제, 라쿠텐"
28,"양제, 생각, 고구려, 영상, 사람"
29,"오전, 별세, 발인, 증시, 지난"
30,"판매량, 기아, 게임, 판매, 현대차"
31,"탄핵, 위원장, 방통위, 야당, 방송통신"
32,"애플, 달러, 해리스, 대통령, 봉투"
33,"스미싱, 환불, 문자, 피해, 북한"
34,"티웨이항공, 북한, 명소, 그룹, 트럼프"
35,"프랑스, 파리, 뉴스, 교회, 올림픽"
36,"휴가, 지구, 대통령, 화성, 수목원"
37,"공간, 시온, 기업, 직원, 사옥"
38,"사직, 병원, 의료, 전공, 교수"
39,"증시, 하락, 이익, 영업, 일본"
40,"가격, 배추, 전보, 논산, 도매"
41,"미국, 금리, 시장, 고용, 대비"
42,"치료, 환자, 평가, 인신매매, 한국"
43,"아이폰, 피임, 응급, 복용, 프로"
44,"대출, 금리, 수수료, 포인트, 인상"
45,"기후, 과일, 대응, 광주, 코끼리"
46,"이란, 이스라엘, 항공, 레바논, 항공사"
47,"한국, 학생, 지역, 서울, 거래량"
48,"대표, 게임, 국민, 사회, 국회"
49,"패스, 이용자, 대중교통, 이용, 사고"
50,"기온, 폭염, 열대야, 더위, 지역"
51,"평가, 총장, 의대, 평원, 교육"
52,"내용, 지문, 구글, 프로그램, 문제"
53,"독일, 유엔, 장관, 가입, 국방부"
54,"일본, 광산, 사도, 학교, 교육"
55,"시스템, 게임, 넷마블, 전통주, 유출"
56,"정책, 노동, 산업, 고용, 차관"
57,"배터리, 미국, 허가, 사고, 로드"
58,"공격, 해커, 노컷뉴스, 사고, 지도"
59,"거래, 서울, 아파트, 주택, 지난달"
60,"무슬림, 한국, 관광객, 할랄, 시장"
61,"지원, 북한, 정부, 수해, 제안"
62,"피해, 홈쇼핑, 의원, 보료, 업체"
63,"이란, 국민, 의원, 필리버스터, 국장"
64,"정산, 판매, 티몬, 위메프, 결제"
65,"김예지, 올림픽, 사람, 사격, 파리"
66,"매출, 사업, 대비, 증가, 수주"
67,"증권, 인수, 기업, 협상, 매각"
68,"대책, 수련, 정부, 의료, 방안"
69,"생산, 자동차, 수술, 이마트, 판매"
70,"사이버, 중국, 정책, 대응, 복식"
71,"기업, 비오템, 시스템, 현수막, 투자"
72,"김치, 오후, 전시, 미디어, 광화"
73,"캠프, 락앤락, 용인시, 기근, 수단"
74,"반납, 노인, 일상, 운전자, 운전"
75,"화성, 어깨, 지구, 인류, 파열"
76,"이사, 선임, 방송, 방통위, 의원"
77,"네이버, 피해, 마하, 지역, 복구"
78,"지역, 설계, 개념, 기자, 통해"
79,"식물, 항체, 기술, 치료, 개발"
80,"남양유업, 혐의, 경찰, 소지, 홍원식"
81,"매장, 오프라인, 스토어, 대구, 위시"
82,"하나님, 기도, 교회, 시위, 주님"
83,"교수, 디스플레이, 주차, 지질, 부산"
84,"사업, 철도, 주택, 건설, 정비"
85,"갤럭시, 워치, 엔비디아, 버즈, 경쟁"
86,"간호사, 엔비디아, 간호, 스마트폰, 전담"
87,"게임, 분야, 이용자, 지능, 팝업"
88,"엔터테인먼트, 원전, 영국, 앨리스, 디어"
89,"어뮤즈, 성장, 브랜드, 시장, 뷰티"
90,"선수, 여성, 파리, 경기, 로저"
91,"아우디, 투어, 써머, 캠프, 해리스"
92,"엔화, 지원, 투자, 사업, 버스"
93,"시위, 석유, 중동, 상황, 가스"
94,"정부, 지원, 장관, 법안, 지급"
95,"청약, 회장, 가구, 분양, 당첨"
96,"바이든, 갠지스강, 대통령, 휴전, 센터"
97,"올림픽, 파리, 김우진, 임시, 금메달"
98,"애플, 중국, 아이폰, 매출, 시장"
99,"경제, 곤지암, 교사, 기자, 광주"
100,"회생, 법원, 위메프, 티몬, 대표"
