Topic,Frequency
미국,1157
미국,1157
미국,1157
후보,1004
기자,900
대통령,872
대통령,872
대표,841
대표,841
시장,754
서울,721
기업,586
기업,586
투자,566
투자,566
경우,534
가격,426
중국,399
중국,399
중국,399
올림픽,392
서비스,380
파리,378
이스라엘,348
북한,342
게임,310
게임,310
방송,295
장관,294
당첨,282
선수,279
위원장,277
영상,273
방문,272
애플,267
아파트,264
아파트,264
카드,234
결제,230
바이오,222
금리,221
금융,218
검색,214
번호,214
질환,208
지급,207
협력,202
기능,198
페이,198
폭염,196
하이,191
여행,190
커피,182
커피,182
지구,170
사고,162
하니,158
코인,147
열대야,144
우크라이나,143
우크라이나,143
인텔,141
수출,140
오늘,132
청약,128
우주,122
작품,119
참전,119
그림,118
전남,115
해운대,107
강원,100
시험,100
당첨번호,96
합의,93
축제,92
로트렉,85
반포,84
얼음,81
오이,80
보상,76
쿠팡,73
소지,72
폭력,72
그늘,68
리조트,64
로봇,63
서기장,62
공무원,58
간호사,56
마약,55
간암,45
백신,40
노트,39
연금,39
사브르,35
전통문화,30
카톡,27
콩나물,26
수능,21
