Topic,Words
1,"오이, 김밥, 판매, 발생, 쌈장"
2,"소지, 도검, 허가, 일본도, 사건"
3,"지급, 임금, 근로자, 알코올, 테크"
4,"방송, 베트남, 프로그램, 라디오, 에프"
5,"우크라이나, 유엔, 미국, 센터, 미군"
6,"후보, 전북, 경선, 득표율, 민주당"
7,"번호, 삼겹살, 당첨, 맞힌, 보너스"
8,"로봇, 서빙, 쯔양, 크로스오버, 트랙스"
9,"금리, 프랜차이즈, 매출, 스트레스, 발톱"
10,"미국, 시장, 하락, 금리, 급락"
11,"마약, 업무, 펜타닐, 등록, 기자"
12,"파리, 유빈, 프랑스, 단식, 여자"
13,"게임, 출시, 매출, 워커힐, 신작"
14,"코인, 소나기, 알트, 증권, 전국"
15,"미국, 미라, 대화, 판매, 연애"
16,"이스라엘, 이란, 공격, 미국, 보복"
17,"대표, 국민, 기후, 날씨, 한동훈"
18,"중국, 부문, 보고서, 부동산, 투자"
19,"방문, 사고, 엑스포, 구조, 강원"
20,"올림픽, 파리, 금메달, 선수, 양궁"
21,"장관, 국방부, 미국, 오스틴, 지역"
22,"해운대, 호텔, 총지배인, 객실, 롯데"
23,"시험, 커피, 임용, 세계, 추가"
24,"참전, 영국, 한국, 보훈부, 장관"
25,"백신, 바이러스, 감염, 화성, 햄스터"
26,"청약, 가구, 공급, 주택, 특별"
27,"콩나물, 예수님, 세례, 하나님, 비둘기"
28,"지구, 법안, 화성, 정부, 국민"
29,"사고, 택배, 결석, 운동, 요로결석"
30,"쿠팡, 뮤지컬, 기자, 보도, 배우"
31,"하니, 이란, 암살, 수비대, 숙소"
32,"전남, 유치, 광주, 시리즈, 지역"
33,"리조트, 시설, 제주항공, 프로그램, 요가"
34,"위원장, 탄핵, 방통위, 이진숙, 방송"
35,"영상, 나라, 아침, 한국, 서울"
36,"수능, 생각, 출제, 서울, 기자"
37,"얼음, 베네수엘라, 대통령, 시위, 사진"
38,"대표, 태풍, 대통령, 요란, 대해"
39,"공무원, 러시아, 의무, 가격, 미국"
40,"카톡, 연합뉴스, 문의, 전환, 라인"
41,"카드, 결제, 신용카드, 인도, 업체"
42,"애플, 보유, 버크셔, 달러, 테슬라"
43,"강원, 속초, 해수욕장, 공연, 경포"
44,"협력, 한미, 안보, 지역, 온도"
45,"기자, 바이에른, 뮌헨, 봉투, 의원"
46,"페이, 환불, 취소, 카카오, 결제"
47,"서비스, 클라우드, 방류, 확인, 카카오"
48,"중국, 보험, 안방, 금융, 회장"
49,"경우, 기자, 가구, 수용, 토지"
50,"작품, 그녀, 경기, 칸딘스키, 사랑"
51,"그림, 프랑스, 저자, 보안, 사이버"
52,"노트, 수사, 의혹, 계획, 조사"
53,"열대야, 일수, 식품, 매수, 제안"
54,"결제, 리스, 컨택, 해외, 카드"
55,"검색, 시장, 구글, 서비스, 오픈"
56,"반포, 클라우드, 재건축, 의무, 매출"
57,"가격, 상승, 하락, 수요, 국제"
58,"사브르, 중국, 한국, 펜싱, 산업"
59,"기업, 제품, 대비, 시장, 지난"
60,"전통문화, 부속, 기술, 원단, 활용"
61,"금융, 제재, 직원, 사고, 당국"
62,"서울, 경기도, 기자, 학생, 준비"
63,"연금, 도검류, 보험, 제품, 보험료"
64,"대통령, 휴가, 뷔페, 캠프, 방문"
65,"투자, 정산, 기업, 티몬, 위메프"
66,"그늘, 한국, 쿠바, 필리핀, 감각"
67,"게임, 목표, 수술, 개발, 모집"
68,"폭력, 사회, 기밀, 정보, 지젝"
69,"아파트, 서울, 지역, 강남, 시장"
70,"여행, 아이폰, 사진, 프로, 애플"
71,"우크라이나, 전쟁, 신탁, 러시아, 어장"
72,"수출, 식품, 생산, 삼양식품, 매출"
73,"커피, 전북, 인하, 금리, 한국"
74,"커피, 원두, 푸르밀, 마늘, 바샤커피"
75,"간암, 치료, 광고, 고객, 간염"
76,"아파트, 사업, 협력, 재건축, 줄타기"
77,"우주, 전시, 그래미, 건설, 환경"
78,"시장, 매출, 공장, 마녀, 해외"
79,"간호사, 전담, 업무, 간호, 의료"
80,"인텔, 달러, 엔비디아, 매출, 반도체"
81,"기능, 시계, 러너, 러닝, 모델"
82,"서기장, 손톱, 베트남, 권력, 공산당"
83,"로트렉, 사람, 연구, 툴루즈, 영업"
84,"바이오, 밀러, 미국, 기업, 한국"
85,"미국, 뷰티, 서구, 증가, 매출"
86,"하이, 한글, 트렌드, 주류, 믹솔로"
87,"오늘, 면접, 기온, 잇몸, 스케일링"
88,"당첨, 스미싱, 문자, 청약, 내용"
89,"질환, 발생, 태국, 애플, 영상"
90,"폭염, 기온, 더위, 최고, 서울"
91,"당첨번호, 통상, 당첨, 일정, 황강"
92,"축제, 화천, 관광객, 기자, 테스트"
93,"중국, 게임, 축구, 하나님, 손흥민"
94,"투자, 관리, 단속, 따릉, 건물"
95,"북한, 피해, 수해, 지원, 위원장"
96,"합의, 미국, 혐의, 테러, 인정"
97,"선수, 회장, 데이터, 기술, 올림픽"
98,"기업, 배당, 배터리, 대표, 사업"
99,"대통령, 해리스, 부통령, 트럼프, 후보"
100,"보상, 하나님, 실패, 곰팡이, 과정"
