Topic,Frequency
기업,1089
한국,1043
한국,1043
사업,913
미국,816
미국,816
대통령,807
대통령,807
서비스,800
대표,768
대표,768
회장,724
회장,724
라인,686
병원,621
센터,611
중국,605
중국,605
사진,548
교육,548
교육,548
데이터,482
투자,423
투자,423
금리,393
최저임금,391
북한,386
북한,386
문제,374
은행,368
상품,363
게임,362
게임,362
판매,357
학교,340
우즈베키스탄,329
방송,315
의대,283
기도,275
물가,261
의협,248
영상,244
청약,244
개인정보,233
보안,215
청년,213
이스라엘,205
교회,194
교회,194
기온,191
지진,190
공정,187
애플,185
운동,183
공격,182
푸틴,179
더위,175
갤럭시,142
제보,134
미니,126
보험,114
배달,110
테슬라,105
상장,96
장비,93
후보,92
한미,92
아트,86
신용,85
훈련,84
기소,84
아이템,80
박물관,78
팹리스,77
요가,75
관광객,73
기억,72
성심당,72
기부,72
사단,70
라운드,70
베를린,68
소송,66
극장,65
나토,64
사기,62
카페,61
이탈리아,60
특례시,55
용기,55
바오,48
자폐,45
에어컨,45
단식,43
강릉단오제,41
밀양,41
경석,36
이모티콘,33
소환,32
낙찰,20
